trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Stimulus.started,sound_1.started,eeg_marker.started,sound_1.stopped,eeg_marker.stopped,Stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.015247599999838712,0.028633199999603676,0.028633199999603676,1.0203510999999708,space,0.9890919999998005,None,,,,,,,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
0,0,0,0,1.0250631999997495,,,,,,,,,1.021094699999594,2.872591429999784,1.851956599999994,2.9415517999996155,2.852173799999946,3.872960400000011,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
1,0,1,0,3.8793300999996063,,,,,,,,,3.873277899999721,5.128594829999611,1.2564722000001893,5.191346299999623,2.2559480999998414,6.129263699999683,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
2,0,2,0,6.135793099999773,,,,,,,,,6.12955649999958,7.58128662999975,1.4525220999998965,,2.4568687000000864,8.586528099999668,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
3,0,3,0,8.593313200000011,,,,,,,,,8.586837299999843,10.377608929999905,1.791390500000034,,2.7915594000000965,11.378439699999944,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
4,0,4,0,11.385133799999949,,,,,,,,,11.378743799999938,12.405884529999593,1.0342286999998578,,2.0339340999998967,13.412776599999688,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
5,0,5,0,13.419241099999908,,,,,,,,,13.413070099999914,14.851495829999703,1.4381929999999556,14.919629399999849,2.44301650000034,15.856159299999945,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
6,0,6,0,15.862650699999904,,,,,,,,,15.85644979999961,16.863152829999716,1.0063326999998026,,2.0062973999997666,17.8628091999999,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
7,0,7,0,17.870303599999716,,,,,,,,,17.86310259999982,19.58464902999999,1.7214152000001377,,2.72219959999984,20.58534019999979,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
8,0,8,0,20.591407899999922,,,,,,,,,20.585633499999858,22.5349031299997,1.949712499999805,22.611811899999793,2.9494128999999703,23.535127299999658,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
9,0,9,0,23.5422051999999,,,,,,,,,23.535429300000033,24.569734429999652,1.0341635999998289,24.638633799999752,2.0347964999996293,25.570287300000018,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
10,0,10,0,25.577075499999864,,,,,,,,,25.570576199999778,27.111493029999973,1.5406087000001207,27.187476599999627,2.540839700000106,28.11149979999982,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
11,0,11,0,28.118212200000016,,,,,,,,,28.11179749999974,29.491737729999794,1.3806848999997783,,2.3798173000000133,30.491748899999948,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
12,0,12,0,30.497948999999608,,,,,,,,,30.492139099999804,31.91514912999987,1.4236016999998355,,2.423373499999798,32.91556159999982,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
13,0,13,0,32.92211520000001,,,,,,,,,32.91586789999974,34.1379354299997,1.2219123999998374,34.206297399999585,2.2229693999997835,35.13887119999981,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
14,0,14,0,35.145875299999716,,,,,,,,,35.1391607999999,36.637308329999954,1.497729900000195,36.71324919999961,2.4980869000000894,37.63731209999969,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
15,0,15,0,37.643617399999584,,,,,,,,,37.63760439999987,38.87261923000001,1.2354310999999143,38.94162069999993,2.235462799999823,39.87312159999965,133971,001,2023-10-29_16h29.05.026,demo_PP_Emotiv,2023.2.3,141.17195308571775,2023-10-29 16h29.11.678717 -0400,
,,,,39.87932460000002,,,,,,,,,39.87350249999963,,,,,,,,,,,,,
